"client_ip","client_port","server_ip","server_port","packets","bytes","packets_cli_to_srv","bytes_cli_to_srv","packets_srv_to_cli","bytes_srv_to_cli","start_time","duration","bits/s_cli_to_srv","bits/s_srv_to_cli"
"192.168.11.3",137,"192.168.11.9",137,4,416,4,416,0,0,214.966573,1806.8468400000002,1.8418827353402016,0
"192.168.11.9",61230,"192.168.10.7",161,2,666,2,666,0,0,1.90489,1581.313152,3.3693516007637685,0
"192.168.11.9",5353,"224.0.0.251",5353,2983,241623,2983,241623,0,0,4.007122,2118.015316,912.6392927368237,0
"192.168.11.9",62418,"224.0.0.252",5355,1,75,1,75,0,0,4.008641,0,0,0
"192.168.11.9",58216,"224.0.0.252",5355,1,75,1,75,0,0,4.01156,0,0,0
"192.168.11.9",62418,"192.168.11.3",5355,1,106,0,0,1,106,4.122016,0,0,0
"192.168.11.9",58216,"192.168.11.3",5355,1,106,0,0,1,106,4.12341,0,0,0
"192.168.11.9",137,"192.168.11.255",137,1792,164864,1792,164864,0,0,4.85151,2117.668962,622.8131136957184,0
"192.168.11.9",61426,"224.0.0.252",5355,3,225,3,225,0,0,4.857766,541.240732,3.3256920508340455,0
"192.168.11.9",50695,"192.168.11.1",53,2,603,1,91,1,512,6.76424,0.023767000000000316,30630.70644170448,172339.79888079883
"192.168.11.9",138,"192.168.11.255",138,3,729,3,729,0,0,6.785218,1436.453913,4.059997990342764,0
"192.168.11.9",60185,"224.0.0.252",5355,2,150,2,150,0,0,7.114165,0.41070200000000057,2921.826531158841,0
"192.168.11.9",64378,"224.0.0.252",5355,2,150,2,150,0,0,9.134071,0.41242299999999865,2909.6340407785306,0
"192.168.11.9",53504,"224.0.0.252",5355,1,75,1,75,0,0,9.134095,0,0,0
"192.168.11.9",64379,"192.168.11.3",161,2,286,1,128,1,158,9.136751,0.009320999999999913,109859.4571397929,135607.76740693185
"192.168.11.9",51355,"224.0.0.252",5355,1,75,1,75,0,0,9.148915,0,0,0
"192.168.11.9",51356,"192.168.11.3",161,2,303,1,93,1,210,9.152721,0.01006800000000041,73897.49702025921,166865.31585219823
"192.168.11.9",53504,"192.168.11.3",5355,1,106,0,0,1,106,9.255791,0,0,0
"192.168.11.9",51355,"192.168.11.3",5355,1,106,0,0,1,106,9.255791,0,0,0
"192.168.11.9",61715,"224.0.0.252",5355,2,150,2,150,0,0,11.526517,0.4112709999999993,2917.784137466542,0
"192.168.11.9",60398,"224.0.0.252",5355,2,150,2,150,0,0,13.887233,0.411543,2915.8556943016893,0
"192.168.11.9",57300,"192.168.11.1",53,2,466,1,67,1,399,14.63553,0.02572800000000086,20833.333333332637,124067.16417910032
"192.168.11.9",56818,"192.168.11.1",53,2,555,1,89,1,466,14.635575,0.02568300000000079,27722.618074211663,145154.3822762094
"192.168.11.9",58931,"192.168.11.1",53,2,536,1,78,1,458,15.453799,0.023097999999999175,27015.32600225224,158628.45267989137
"192.168.11.9",56852,"192.168.11.1",53,2,520,1,79,1,441,15.589661,0.025567999999999813,24718.397997497053,137984.98122653418
"192.168.11.9",56103,"192.168.11.1",53,2,538,1,79,1,459,15.704102,0.02212399999999981,28566.26288193841,165973.60332670546
"192.168.11.9",50815,"192.168.11.1",53,2,514,1,76,1,438,15.767355,0.023770999999999987,25577.38420764799,147406.50372302392
"192.168.11.9",58961,"192.168.11.1",53,2,474,1,71,1,403,15.967831,0.02864100000000036,19831.70978666921,112565.90202855904
"192.168.11.9",61199,"192.168.11.1",53,3,608,2,152,1,456,16.171001,0.05602599999999924,21704.208760218764,65112.62628065629
"192.168.11.9",51455,"224.0.0.252",5355,2,150,2,150,0,0,16.302593,0.4112599999999986,2917.862179643058,0
"192.168.11.9",54191,"192.168.11.1",53,2,605,1,78,1,527,17.147535,0.02347999999999928,26575.809199319385,179557.06984668353
"192.168.11.9",62033,"192.168.11.1",53,2,365,1,85,1,280,17.695963,0.022325999999999624,30457.762250291653,100331.4521186078
"192.168.11.9",51890,"224.0.0.252",5355,2,150,2,150,0,0,18.679631,0.4104379999999992,2923.7058946783736,0
"192.168.11.9",62751,"192.168.11.1",53,2,466,1,67,1,399,20.306731,0.021778000000001185,24611.993755164425,146569.93295985978
"192.168.11.9",61403,"192.168.11.1",53,2,538,1,76,1,462,20.395365,0.021896999999999167,27766.36068867987,168790.24523908028
"192.168.11.9",60003,"224.0.0.252",5355,2,150,2,150,0,0,21.04391,0.4109100000000012,2920.3475213550328,0
"192.168.11.9",49318,"192.168.11.1",53,2,476,1,72,1,404,23.099618,0.021884000000000015,26320.599524766934,147687.80844452558
"192.168.11.9",53087,"224.0.0.252",5355,2,150,2,150,0,0,26.647579,0.41008599999999973,2926.2154767536585,0
"192.168.11.9",62992,"224.0.0.252",5355,2,150,2,150,0,0,26.648031,0.4096000000000011,2929.6874999999923,0
"192.168.11.9",63862,"192.168.11.3",161,160,18648,80,9192,80,9456,28.90314,2084.7024570000003,35.27409859046374,36.287192805855646
"192.168.11.9",51807,"192.168.11.3",161,2,177,1,88,1,89,33.930706,0.005428000000001987,129697.86293289284,131171.70228440297
"192.168.11.9",51808,"192.168.11.3",161,2,179,1,89,1,90,33.937151,0.005248999999999171,135644.8847399719,137168.9845685109
"192.168.11.9",51809,"192.168.11.3",161,2,1156,1,578,1,578,33.9436,0.20830099999999874,22198.645229739792,22198.645229739792
"192.168.11.9",65525,"224.0.0.252",5355,1,75,1,75,0,0,34.210887,0,0,0
"192.168.11.9",50640,"224.0.0.252",5355,1,75,1,75,0,0,34.219396,0,0,0
"192.168.11.9",65525,"192.168.11.3",5355,1,106,0,0,1,106,34.329824,0,0,0
"192.168.11.9",50640,"192.168.11.3",5355,1,106,0,0,1,106,34.332855,0,0,0
"192.168.11.9",55041,"224.0.0.252",5355,1,75,1,75,0,0,39.130029,0,0,0
"192.168.11.9",55087,"224.0.0.252",5355,2,150,2,150,0,0,39.143231,0.4107219999999998,2921.684253582717,0
"192.168.11.9",55088,"192.168.11.3",161,2,286,1,128,1,158,39.145087,0.009211000000000524,111171.42546954095,137227.22831396462
"192.168.11.9",60748,"224.0.0.252",5355,1,75,1,75,0,0,39.17389,0,0,0
"192.168.11.9",51197,"192.168.11.3",161,2,303,1,93,1,210,39.229242,0.03549600000000197,20960.10818120235,47329.27653819886
"192.168.11.9",55041,"192.168.11.3",5355,1,106,0,0,1,106,39.26474,0,0,0
"192.168.11.9",60748,"192.168.11.3",5355,1,106,0,0,1,106,39.26474,0,0,0
"192.168.11.9",61536,"224.0.0.252",5355,2,150,2,150,0,0,39.414205,0.4108090000000004,2921.06550732822,0
"192.168.11.9",53864,"224.0.0.252",5355,2,150,2,150,0,0,41.500687,0.4104159999999979,2923.86261744183,0
"192.168.11.9",58951,"224.0.0.252",5355,2,150,2,150,0,0,41.671447,0.4102099999999993,2925.330928061242,0
"192.168.11.9",60630,"224.0.0.252",5355,4,300,4,300,0,0,43.855775,792.552883,3.028189098139966,0
"192.168.11.9",61682,"224.0.0.252",5355,2,150,2,150,0,0,46.213415,0.4102180000000004,2925.273878766897,0
"192.168.11.9",53200,"224.0.0.252",5355,2,150,2,150,0,0,48.568337,0.4103020000000015,2924.674995491115,0
"192.168.11.9",58247,"192.168.11.1",53,2,557,1,75,1,482,48.609635,0.02322900000000061,25829.781738343634,165999.3973050884
"192.168.11.9",59579,"192.168.11.1",53,2,498,1,72,1,426,48.626059,0.026854000000000156,21449.318537275514,126908.46801221346
"192.168.11.9",52511,"192.168.11.1",53,2,516,1,92,1,424,50.552773,0.030892000000001474,23824.938495402203,109801.89045707103
"192.168.11.9",53809,"192.168.11.1",53,2,516,1,92,1,424,50.552774,0.02753500000000031,26729.61685127989,123188.66896676818
"192.168.11.9",53050,"192.168.11.1",53,2,516,1,92,1,424,50.552975,0.029387999999997305,25044.23574248222,115421.26037839631
"192.168.11.9",57432,"192.168.11.1",53,4,1036,2,186,2,850,50.553363,0.05841500000000366,25472.90935547217,116408.45673199647
"192.168.11.9",54308,"192.168.11.1",53,2,512,1,90,1,422,50.666718,0.022466999999998905,32047.002269997556,150264.83286598854
"192.168.11.9",49391,"192.168.11.1",53,3,582,2,150,1,432,50.717448,0.06842400000000026,17537.70606804623,50508.593475973146
"192.168.11.9",62714,"192.168.11.1",53,3,551,2,146,1,405,50.717594,0.07792500000000047,14988.771254411204,41578.44080846944
"192.168.11.9",55733,"224.0.0.252",5355,2,150,2,150,0,0,50.923883000000004,0.4156889999999933,2886.773525400045,0
"192.168.11.9",65001,"52.68.4.56",8801,119658,88139360,111827,86011222,7831,2128138,51.072907,2087.6576309999996,329598.9561614091,8155.122634665379
"192.168.11.9",65002,"52.68.4.56",8801,131904,29359408,66652,15073521,65252,14285887,51.446925,2087.263752,57773.32542878367,54754.50617608388
"192.168.11.9",65003,"52.68.4.56",8801,101964,33388495,40061,10321855,61903,23066640,51.881762,2086.718904,39571.61639821901,88432.18875636352
"192.168.11.9",65004,"192.168.10.7",161,1,88,1,88,0,0,63.980231,0,0,0
"192.168.11.9",62310,"192.168.11.1",53,2,411,1,100,1,311,64.18066,0.024151000000003364,33124.922363458594,103018.50855035623
"192.168.11.9",63096,"224.0.0.252",5355,1,75,1,75,0,0,64.229488,0,0,0
"192.168.11.9",62490,"224.0.0.252",5355,1,75,1,75,0,0,64.232007,0,0,0
"192.168.11.9",63096,"192.168.11.3",5355,1,106,0,0,1,106,64.334881,0,0,0
"192.168.11.9",62490,"192.168.11.3",5355,1,106,0,0,1,106,64.335322,0,0,0
"192.168.11.9",62491,"192.168.10.7",161,1,88,1,88,0,0,65.981237,0,0,0
"192.168.11.9",62492,"192.168.10.7",161,1,578,1,578,0,0,67.981996,0,0,0
"192.168.11.9",60798,"224.0.0.252",5355,1,75,1,75,0,0,69.134254,0,0,0
"192.168.11.9",60799,"192.168.11.3",161,2,286,1,128,1,158,69.134993,0.008955000000000268,114349.52540479836,141150.19542154798
"192.168.11.9",55492,"224.0.0.252",5355,2,150,2,150,0,0,69.135556,0.410499999999999,2923.264311814867,0
"192.168.11.9",51188,"224.0.0.252",5355,1,75,1,75,0,0,69.146936,0,0,0
"192.168.11.9",51189,"192.168.11.3",161,2,303,1,93,1,210,69.147424,0.01286299999999585,57840.31718885486,130607.16784580129
"192.168.11.9",60798,"192.168.11.3",5355,1,106,0,0,1,106,69.257838,0,0,0
"192.168.11.9",51188,"192.168.11.3",5355,1,106,0,0,1,106,69.257839,0,0,0
"192.168.11.9",51906,"192.168.11.1",53,2,404,1,70,1,334,69.774479,0.02401899999999557,23314.875723389952,111245.2641658892
"192.168.11.9",51907,"192.168.10.7",161,1,578,1,578,0,0,70.98294,0,0,0
"192.168.11.9",57400,"224.0.0.252",5355,2,150,2,150,0,0,71.488983,0.40967700000000207,2929.1368565967678,0
"192.168.11.9",53832,"224.0.0.252",5355,2,150,2,150,0,0,73.846752,0.41074600000000316,2921.513538780635,0
"192.168.11.9",61208,"224.0.0.252",5355,2,150,2,150,0,0,73.930549,0.4099920000000026,2926.886378270777,0
"192.168.11.9",61944,"224.0.0.252",5355,2,150,2,150,0,0,76.186261,0.41127199999999675,2917.777042930249,0
"192.168.11.9",65146,"224.0.0.252",5355,2,150,2,150,0,0,76.203406,0.41097499999999343,2919.8856378125656,0
"192.168.11.9",51847,"224.0.0.252",5355,2,150,2,150,0,0,78.559554,0.4098690000000005,2927.7647248267094,0
"192.168.11.9",60848,"224.0.0.252",5355,2,150,2,150,0,0,80.920735,0.4095790000000079,2929.837711406046,0
"192.168.11.9",58262,"224.0.0.252",5355,2,150,2,150,0,0,88.910114,0.4111740000000026,2918.472471508394,0
"192.168.11.9",59708,"224.0.0.252",5355,2,150,2,150,0,0,88.911331,0.4107979999999998,2921.1437251398515,0
"192.168.11.9",57257,"192.168.11.3",161,2,177,1,88,1,89,94.153815,0.004854000000008796,0,0
"192.168.11.9",57258,"192.168.11.3",161,2,179,1,89,1,90,94.159166,0.006225000000000591,114377.51004014978,115662.65060239866
"192.168.11.9",57259,"192.168.11.3",161,2,1156,1,578,1,578,94.165984,0.20827100000001053,22201.842791362054,22201.842791362054
"192.168.11.9",61232,"224.0.0.252",5355,1,75,1,75,0,0,94.42714,0,0,0
"192.168.11.9",63351,"224.0.0.252",5355,1,75,1,75,0,0,94.429324,0,0,0
"192.168.11.9",61232,"192.168.11.3",5355,1,106,0,0,1,106,94.541102,0,0,0
"192.168.11.9",63351,"192.168.11.3",5355,1,106,0,0,1,106,94.542418,0,0,0
"192.168.11.9",49693,"224.0.0.252",5355,1,75,1,75,0,0,99.149497,0,0,0
"192.168.11.9",62216,"224.0.0.252",5355,2,150,2,150,0,0,99.151724,0.4105770000000035,2922.7160800531683,0
"192.168.11.9",65239,"192.168.11.3",161,2,286,1,128,1,158,99.169698,0.009763000000006627,104885.79330116817,129468.40110612946
"192.168.11.9",55772,"224.0.0.252",5355,1,75,1,75,0,0,99.18208,0,0,0
"192.168.11.9",55773,"192.168.11.3",161,2,303,1,93,1,210,99.182546,0.010742999999990843,69254.39821284876,156380.89919030364
"192.168.11.9",49693,"192.168.11.3",5355,1,106,0,0,1,106,99.263446,0,0,0
"192.168.11.9",55772,"192.168.11.3",5355,1,106,0,0,1,106,99.263926,0,0,0
"192.168.11.9",61183,"224.0.0.252",5355,2,150,2,150,0,0,101.509661,0.4103290000000044,2924.48254936889,0
"192.168.11.9",57684,"224.0.0.252",5355,2,150,2,150,0,0,103.866844,0.4101789999999994,2925.5520150958528,0
"192.168.11.9",64965,"224.0.0.252",5355,2,150,2,150,0,0,106.222559,0.4125519999999909,2908.7242335512283,0
"192.168.11.9",58914,"239.255.255.250",1900,4,864,4,864,0,0,108.387739,3.0041539999999998,2300.81413935504,0
"192.168.11.9",59765,"224.0.0.252",5355,2,150,2,150,0,0,108.44521,0.41047899999999515,2923.4138652647616,0
"192.168.11.9",51002,"224.0.0.252",5355,2,150,2,150,0,0,108.578843,0.41089900000000057,2920.4257007196375,0
"192.168.11.9",54431,"224.0.0.252",5355,2,150,2,150,0,0,110.70421,0.4110730000000018,2919.189535678565,0
"192.168.11.9",49498,"224.0.0.252",5355,2,150,2,150,0,0,110.934718,0.4097229999999996,2928.807999550919,0
"192.168.11.9",53225,"224.0.0.252",5355,1,75,1,75,0,0,124.437146,0,0,0
"192.168.11.9",53602,"224.0.0.252",5355,1,75,1,75,0,0,124.441379,0,0,0
"192.168.11.9",53225,"192.168.11.3",5355,1,106,0,0,1,106,124.544042,0,0,0
"192.168.11.9",53602,"192.168.11.3",5355,1,106,0,0,1,106,124.545418,0,0,0
"192.168.11.9",55892,"224.0.0.252",5355,1,75,1,75,0,0,129.140158,0,0,0
"192.168.11.9",55893,"192.168.11.3",161,2,286,1,128,1,158,129.140811,0.00926499999999919,110523.47544523362,136427.41500271024
"192.168.11.9",60416,"224.0.0.252",5355,2,150,2,150,0,0,129.14115,0.4103409999999883,2924.3970258883082,0
"192.168.11.9",51560,"224.0.0.252",5355,1,75,1,75,0,0,129.152728,0,0,0
"192.168.11.9",51561,"192.168.11.3",161,2,303,1,93,1,210,129.153259,0.010502999999999929,70836.90374178854,159954.29877178057
"192.168.11.9",55892,"192.168.11.3",5355,1,106,0,0,1,106,129.262578,0,0,0
"192.168.11.9",51560,"192.168.11.3",5355,1,106,0,0,1,106,129.263998,0,0,0
"192.168.11.9",54558,"224.0.0.252",5355,2,150,2,150,0,0,131.495413,0.4108759999999734,2920.5891801908065,0
"192.168.11.9",61840,"192.168.10.7",161,1,88,1,88,0,0,133.013986,0,0,0
"192.168.11.9",58138,"224.0.0.252",5355,2,150,2,150,0,0,133.853103,0.411342999999988,2917.2734190202214,0
"192.168.11.9",50233,"192.168.10.7",161,1,88,1,88,0,0,135.014195,0,0,0
"192.168.11.9",63230,"224.0.0.252",5355,2,150,2,150,0,0,136.21393,0.41110499999999206,2918.9623088992425,0
"192.168.11.9",56130,"192.168.10.7",161,1,578,1,578,0,0,137.014662,0,0,0
"192.168.11.9",57622,"224.0.0.252",5355,2,150,2,150,0,0,138.570098,0.4107219999999927,2921.6842535827673,0
"192.168.11.9",52907,"192.168.10.7",161,1,578,1,578,0,0,140.017141,0,0,0
"192.168.11.9",49863,"224.0.0.252",5355,2,150,2,150,0,0,140.925083,0.4099080000000015,2927.4861676278474,0
"192.168.11.9",49922,"224.0.0.252",5355,2,150,2,150,0,0,142.964937,0.40995399999999904,2927.157681105692,0
"192.168.11.9",57652,"224.0.0.252",5355,2,150,2,150,0,0,145.22028,0.4106620000000021,2922.1111278861786,0
"192.168.11.9",49740,"224.0.0.252",5355,2,150,2,150,0,0,151.174535,0.41059400000000323,2922.5950695820948,0
"192.168.11.9",57261,"224.0.0.252",5355,4,300,4,300,0,0,151.17572,975.549037,2.4601531127337886,0
"192.168.11.9",56978,"192.168.11.3",161,2,177,1,88,1,89,154.377804,0.023195000000015398,30351.368829468967,30696.270747985658
"192.168.11.9",56979,"192.168.11.3",161,2,179,1,89,1,90,154.401714,0.004669000000006918,0,0
"192.168.11.9",56980,"192.168.11.3",161,2,1156,1,578,1,578,154.407017,0.21250599999999054,21759.385617348245,21759.385617348245
"192.168.11.9",52858,"224.0.0.252",5355,1,75,1,75,0,0,154.673742,0,0,0
"192.168.11.9",60077,"224.0.0.252",5355,1,75,1,75,0,0,154.677451,0,0,0
"192.168.11.9",52858,"192.168.11.3",5355,1,106,0,0,1,106,154.752696,0,0,0
"192.168.11.9",60077,"192.168.11.3",5355,1,106,0,0,1,106,154.753759,0,0,0
"192.168.11.9",61151,"224.0.0.252",5355,1,75,1,75,0,0,159.150711,0,0,0
"192.168.11.9",50530,"224.0.0.252",5355,2,150,2,150,0,0,159.152346,0.41333500000001777,2903.2140999430208,0
"192.168.11.9",51656,"192.168.11.3",161,2,286,1,128,1,158,159.169554,0.008049999999997226,127204.96894414321,157018.6335404268
"192.168.11.9",50352,"224.0.0.252",5355,1,75,1,75,0,0,159.180151,0,0,0
"192.168.11.9",50353,"192.168.11.3",161,2,303,1,93,1,210,159.180625,0.017354000000011638,42871.96035493264,96807.65241436403
"192.168.11.9",61151,"192.168.11.3",5355,1,106,0,0,1,106,159.271545,0,0,0
"192.168.11.9",50352,"192.168.11.3",5355,1,106,0,0,1,106,159.271545,0,0,0
"192.168.11.9",62486,"224.0.0.252",5355,2,150,2,150,0,0,161.506114,0.4102829999999926,2924.810435723687,0
"192.168.11.9",56772,"224.0.0.252",5355,2,150,2,150,0,0,163.861083,0.41151700000000346,2916.0399205864883,0
"192.168.11.9",57117,"224.0.0.252",5355,2,150,2,150,0,0,166.218213,0.41018700000000763,2925.494957178013,0
"192.168.11.9",49335,"224.0.0.252",5355,4,300,4,300,0,0,168.573845,1768.129223,1.3573668534972232,0
"192.168.11.9",61894,"224.0.0.252",5355,2,150,2,150,0,0,170.93984,0.4102499999999907,2925.045703839189,0
"192.168.11.9",51020,"224.0.0.252",5355,3,225,3,225,0,0,177.481391,1601.754216,1.1237679177115398,0
"192.168.11.9",54073,"224.0.0.252",5355,2,150,2,150,0,0,179.739526,0.4105559999999855,2922.865577412198,0
"192.168.11.9",58288,"224.0.0.252",5355,1,75,1,75,0,0,184.684613,0,0,0
"192.168.11.9",51734,"224.0.0.252",5355,1,75,1,75,0,0,184.688187,0,0,0
"192.168.11.9",58288,"192.168.11.3",5355,1,106,0,0,1,106,184.755285,0,0,0
"192.168.11.9",51734,"192.168.11.3",5355,1,106,0,0,1,106,184.756783,0,0,0
"192.168.11.9",63237,"224.0.0.252",5355,1,75,1,75,0,0,189.161435,0,0,0
"192.168.11.9",51813,"224.0.0.252",5355,2,150,2,150,0,0,189.16288,0.41046199999999544,2923.5349435514454,0
"192.168.11.9",58632,"192.168.11.3",161,2,286,1,128,1,158,189.165904,0.012019999999978381,85191.34775389699,105158.06988371658
"192.168.11.9",65260,"224.0.0.252",5355,1,75,1,75,0,0,189.182962,0,0,0
"192.168.11.9",65261,"192.168.11.3",161,2,303,1,93,1,210,189.183563,0.010779000000013639,69023.10047305489,155858.61397141425
"192.168.11.9",63237,"192.168.11.3",5355,1,106,0,0,1,106,189.274361,0,0,0
"192.168.11.9",65260,"192.168.11.3",5355,1,106,0,0,1,106,189.2755,0,0,0
"192.168.11.9",53956,"224.0.0.252",5355,2,150,2,150,0,0,191.520538,0.4104820000000018,2923.3924995492976,0
"192.168.11.9",65202,"224.0.0.252",5355,2,150,2,150,0,0,193.877268,0.4101750000000095,2925.580544889309,0
